2023-06-15 00:07:42 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:44 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:46 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:48 result: , param:10000-111:-1745.2900000000000
2023-06-15 00:07:50 result: , param:10000-111:-1765.2700000000000
2023-06-15 00:07:52 result: , param:10000-111:-1760.3100000000000
2023-06-15 00:07:54 result: , param:10000-111:-1760.3100000000000
2023-06-15 00:07:56 result: , param:10000-111:-1756.5700000000000
2023-06-15 00:07:58 result: , param:10000-111:-1756.5700000000000
2023-06-15 00:08:00 result: , param:10000-111:-1756.5700000000000
2023-06-15 00:08:02 result: , param:10000-111:-1756.5700000000000
2023-06-15 00:08:04 result: , param:10000-111:-1760.3100000000000
2023-06-15 00:08:06 result: , param:10000-111:-1760.3100000000000
2023-06-15 00:08:08 result: , param:10000-111:-1760.3100000000000
2023-06-15 00:08:10 result: , param:10000-111:-1760.3100000000000
2023-06-15 00:08:12 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:08:14 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:08:16 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:08:18 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:08:20 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:08:22 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:08:24 result: , param:10000-111:-1763.0700000000000
2023-06-15 00:08:26 result: , param:10000-111:-1761.8900000000000
2023-06-15 00:08:28 result: , param:10000-111:-1761.8900000000000
2023-06-15 00:08:30 result: , param:10000-111:-1761.8900000000000
2023-06-15 00:08:32 result: , param:10000-111:-1761.8900000000000
2023-06-15 00:08:34 result: , param:10000-111:-1761.8900000000000
2023-06-15 00:08:36 result: , param:10000-111:-1761.8900000000000
2023-06-15 00:08:38 result: , param:10000-111:-1759.0700000000000
2023-06-15 00:08:40 result: , param:10000-111:-1759.0700000000000
2023-06-15 00:08:42 result: , param:10000-111:-1756.5700000000000
2023-06-15 00:08:44 result: , param:10000-111:-1756.5900000000000
2023-06-15 00:08:46 result: , param:10000-111:-1756.5900000000000
2023-06-15 00:08:49 result: , param:10000-111:-1756.5900000000000
2023-06-15 00:08:51 result: , param:10000-111:-1755.5100000000000
2023-06-15 00:08:53 result: , param:10000-111:-1755.5100000000000
2023-06-15 00:08:55 result: , param:10000-111:-1755.5100000000000
2023-06-15 00:08:57 result: , param:10000-111:-1755.2900000000000
2023-06-15 00:08:59 result: , param:10000-111:-1755.2900000000000
2023-06-15 00:09:01 result: , param:10000-111:-1755.2900000000000
2023-06-15 00:09:03 result: , param:10000-111:-1751.2900000000000
2023-06-15 00:09:05 result: , param:10000-111:-1751.3100000000000
2023-06-15 00:09:07 result: , param:10000-111:-1751.9900000000000
2023-06-15 00:09:09 result: , param:10000-111:-1755.4900000000000
2023-06-15 00:09:11 result: , param:10000-111:-1755.4900000000000
2023-06-15 00:09:13 result: , param:10000-111:-1755.4900000000000
2023-06-15 00:09:15 result: , param:10000-111:-1755.4900000000000
2023-06-15 00:09:17 result: , param:10000-111:-1755.4900000000000
2023-06-15 00:09:19 result: , param:10000-111:-1785.2900000000000
2023-06-15 00:09:21 result: , param:10000-111:-1783.0500000000000
2023-06-15 00:09:23 result: , param:10000-111:-1783.0500000000000
2023-06-15 00:09:25 result: , param:10000-111:-1783.0500000000000
2023-06-15 00:09:27 result: , param:10000-111:-1783.0500000000000
2023-06-15 00:09:29 result: , param:10000-111:-1783.0500000000000
2023-06-15 00:09:31 result: , param:10000-111:-1783.0500000000000
2023-06-15 00:09:33 result: , param:10000-111:-1783.0500000000000
2023-06-15 00:09:35 result: , param:10000-111:-1783.0500000000000
2023-06-15 00:09:37 result: , param:10000-111:-1774.7500000000000
2023-06-15 00:09:39 result: , param:10000-111:-1774.7300000000000
2023-06-15 00:09:41 result: , param:10000-111:-1774.7300000000000
2023-06-15 00:09:43 result: , param:10000-111:-1774.7300000000000
2023-06-15 00:09:45 result: , param:10000-111:-1774.7300000000000
2023-06-15 00:09:47 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:09:49 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:09:51 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:09:53 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:09:55 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:09:57 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:09:59 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:01 result: , param:10000-111:-1777.1300000000000
2023-06-15 00:10:03 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:05 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:07 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:09 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:11 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:13 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:15 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:17 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:19 result: , param:10000-111:-1777.1100000000000
2023-06-15 00:10:21 result: , param:10000-111:-1781.4100000000000
2023-06-15 00:10:23 result: , param:10000-111:-1781.4100000000000
2023-06-15 00:10:25 result: , param:10000-111:-1781.4100000000000
2023-06-15 00:10:27 result: , param:10000-111:-1785.2300000000000
2023-06-15 00:10:29 result: , param:10000-111:-1784.9300000000000
2023-06-15 00:10:31 result: , param:10000-111:-1779.2700000000000
2023-06-15 00:10:33 result: , param:10000-111:-1779.2700000000000
2023-06-15 00:10:35 result: , param:10000-111:-1779.2700000000000
2023-06-15 00:10:37 result: , param:10000-111:-1778.0900000000000
2023-06-15 00:10:39 result: , param:10000-111:-1778.0900000000000
2023-06-15 00:10:41 result: , param:10000-111:-1778.0900000000000
2023-06-15 00:10:43 result: , param:10000-111:-1778.0900000000000
2023-06-15 00:10:45 result: , param:10000-111:-1778.0900000000000
2023-06-15 00:10:47 result: , param:10000-111:-1778.0900000000000
2023-06-15 00:10:50 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:10:52 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:10:54 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:10:56 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:10:58 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:11:00 result: , param:10000-111:-1765.1100000000000
2023-06-15 00:11:02 result: , param:10000-111:-1765.1100000000000
