2023-06-23 00:06:21 result: , param:15068.59-111:-2129.7000000000000
2023-06-23 00:06:23 result: , param:15068.59-111:-2008.9000000000000
2023-06-23 00:06:25 result: , param:15068.59-111:-2036.8000000000000
2023-06-23 00:06:27 result: , param:15068.59-111:-2076.7000000000000
2023-06-23 00:06:29 result: , param:15068.59-111:-2100.2000000000000
2023-06-23 00:06:31 result: , param:15068.59-111:-2214.8000000000000
2023-06-23 00:06:33 result: , param:15068.59-111:-2228.8000000000000
2023-06-23 00:06:35 result: , param:15068.59-111:-2075.6000000000000
2023-06-23 00:06:37 result: , param:15068.59-111:-2075.6000000000000
2023-06-23 00:06:39 result: , param:15068.59-111:-2055.3000000000000
2023-06-23 00:06:42 result: , param:15068.59-111:-2093.1000000000000
2023-06-23 00:06:44 result: , param:15068.59-111:-2092.3000000000000
2023-06-23 00:06:46 result: , param:15068.59-111:-2061.4000000000000
2023-06-23 00:06:48 result: , param:15068.59-111:-2071.3000000000000
2023-06-23 00:06:50 result: , param:15068.59-111:-2043.0000000000000
2023-06-23 00:06:52 result: , param:15068.59-111:-2082.9000000000000
2023-06-23 00:06:54 result: , param:15068.59-111:-2066.2000000000000
2023-06-23 00:06:56 result: , param:15068.59-111:-2137.0000000000000
2023-06-23 00:06:58 result: , param:15068.59-111:-2172.4000000000000
2023-06-23 00:07:00 result: , param:15068.59-111:-2226.8000000000000
2023-06-23 00:07:02 result: , param:15068.59-111:-2141.6000000000000
2023-06-23 00:07:04 result: , param:15068.59-111:-2182.3000000000000
2023-06-23 00:07:06 result: , param:15068.59-111:-2240.0000000000000
2023-06-23 00:07:08 result: , param:15068.59-111:-2225.4000000000000
2023-06-23 00:07:10 result: , param:15068.59-111:-2200.1000000000000
2023-06-23 00:07:12 result: , param:15068.59-111:-2220.9000000000000
2023-06-23 00:07:14 result: , param:15068.59-111:-2241.3000000000000
2023-06-23 00:07:16 result: , param:15068.59-111:-2391.7000000000000
2023-06-23 00:07:18 result: , param:15068.59-111:-2401.9000000000000
2023-06-23 00:07:20 result: , param:15068.59-111:-2401.9000000000000
2023-06-23 00:07:22 result: , param:15068.59-111:-2507.3000000000000
2023-06-23 00:07:24 result: , param:15068.59-111:-2507.3000000000000
2023-06-23 00:07:26 result: , param:15068.59-111:-2540.3000000000000
2023-06-23 00:07:28 result: , param:15068.59-111:-2516.2000000000000
2023-06-23 00:07:30 result: , param:15068.59-111:-2516.2000000000000
2023-06-23 00:07:32 result: , param:15068.59-111:-2462.7000000000000
2023-06-23 00:07:34 result: , param:15068.59-111:-2581.2000000000000
2023-06-23 00:07:36 result: , param:15068.59-111:-2652.9000000000000
2023-06-23 00:07:38 result: , param:15068.59-111:-2557.4000000000000
2023-06-23 00:07:40 result: , param:15068.59-111:-2477.5000000000000
2023-06-23 00:07:42 result: , param:15068.59-111:-2477.5000000000000
2023-06-23 00:07:44 result: , param:15068.59-111:-2477.5000000000000
2023-06-23 00:07:46 result: , param:15068.59-111:-2518.0000000000000
2023-06-23 00:07:48 result: , param:15068.59-111:-2518.0000000000000
2023-06-23 00:07:50 result: , param:15068.59-111:-2451.8000000000000
2023-06-23 00:07:52 result: , param:15068.59-111:-2451.4000000000000
2023-06-23 00:07:54 result: , param:15068.59-111:-2451.4000000000000
2023-06-23 00:07:56 result: , param:15068.59-111:-2451.4000000000000
2023-06-23 00:07:58 result: , param:15068.59-111:-2451.4000000000000
2023-06-23 00:08:01 result: , param:15068.59-111:-2415.6000000000000
2023-06-23 00:08:03 result: , param:15068.59-111:-2415.7000000000000
2023-06-23 00:08:05 result: , param:15068.59-111:-2415.7000000000000
2023-06-23 00:08:07 result: , param:15068.59-111:-2470.5000000000000
2023-06-23 00:08:09 result: , param:15068.59-111:-2442.5000000000000
2023-06-23 00:08:11 result: , param:15068.59-111:-2415.7000000000000
2023-06-23 00:08:13 result: , param:15068.59-111:-2415.7000000000000
2023-06-23 00:08:15 result: , param:15068.59-111:-2415.6000000000000
2023-06-23 00:08:17 result: , param:15068.59-111:-2391.7000000000000
2023-06-23 00:08:19 result: , param:15068.59-111:-2414.0000000000000
2023-06-23 00:08:21 result: , param:15068.59-111:-2774.3000000000000
2023-06-23 00:08:23 result: , param:15068.59-111:-2705.7000000000000
2023-06-23 00:08:25 result: , param:15068.59-111:-2606.9000000000000
2023-06-23 00:08:27 result: , param:15068.59-111:-2474.0000000000000
2023-06-23 00:08:29 result: , param:15068.59-111:-2474.0000000000000
2023-06-23 00:08:31 result: , param:15068.59-111:-2474.0000000000000
2023-06-23 00:08:33 result: , param:15068.59-111:-2474.0000000000000
2023-06-23 00:08:35 result: , param:15068.59-111:-2474.0000000000000
2023-06-23 00:08:37 result: , param:15068.59-111:-2468.3000000000000
2023-06-23 00:08:39 result: , param:15068.59-111:-2468.3000000000000
2023-06-23 00:08:41 result: , param:15068.59-111:-2439.6000000000000
2023-06-23 00:08:43 result: , param:15068.59-111:-2439.6000000000000
2023-06-23 00:08:45 result: , param:15068.59-111:-2439.6000000000000
2023-06-23 00:08:47 result: , param:15068.59-111:-2468.2000000000000
2023-06-23 00:08:49 result: , param:15068.59-111:-2427.5000000000000
2023-06-23 00:08:51 result: , param:15068.59-111:-2427.5000000000000
2023-06-23 00:08:53 result: , param:15068.59-111:-2430.9000000000000
2023-06-23 00:08:55 result: , param:15068.59-111:-2453.8000000000000
2023-06-23 00:08:57 result: , param:15068.59-111:-2453.8000000000000
2023-06-23 00:08:59 result: , param:15068.59-111:-2435.2000000000000
2023-06-23 00:09:01 result: , param:15068.59-111:-2435.2000000000000
2023-06-23 00:09:03 result: , param:15068.59-111:-2474.1000000000000
